,accuracy,precision,recall,f1_score
logistic_regression,0.8136752136752137,0.8458646616541353,0.7679180887372014,0.8050089445438283
random_forest,0.9572649572649573,0.9620689655172414,0.9522184300341296,0.9571183533447685
gradient_boosting,0.9247863247863248,0.9430604982206405,0.9044368600682594,0.9233449477351916
svm,0.8786324786324786,0.93359375,0.8156996587030717,0.8706739526411658
mlp,0.9641025641025641,1.0,0.9283276450511946,0.9628318584070796
