feature,importance
59,0.09042735042735044
121,0.07504273504273505
348,0.059487179487179506
14,0.05094017094017096
64,0.041367521367521365
460,0.0364102564102564
129,0.033846153846153845
125,0.028034188034188046
79,0.027179487179487195
21,0.027008547008547025
63,0.026324786324786343
300,0.02581196581196583
298,0.02581196581196583
165,0.02581196581196583
95,0.023760683760683788
210,0.022735042735042767
22,0.022564102564102594
437,0.021025641025641063
200,0.02000000000000004
100,0.01982905982905987
56,0.01931623931623936
163,0.018119658119658166
510,0.017948717948717996
28,0.017948717948717986
130,0.017948717948717975
133,0.017264957264957304
124,0.015042735042735057
33,0.014700854700854738
160,0.014017094017094023
159,0.013675213675213682
164,0.013333333333333341
316,0.013162393162393171
123,0.01282051282051283
103,0.011623931623931627
299,0.010769230769230753
295,0.010598290598290594
26,0.010256410256410253
294,0.008547008547008527
180,0.008205128205128188
122,0.008034188034188016
434,0.008034188034188006
431,0.007863247863247835
430,0.0075213675213674945
127,0.007179487179487154
436,0.007008547008546984
452,0.006324786324786313
435,0.002051282051282044
114,0.0006837606837606814
387,0.0006837606837606814
249,0.00017094017094017034
