feature,importance
121,0.18629911095989055
59,0.17374857008209066
348,0.1496644096895887
64,0.11433622467374036
200,0.083036754033657
79,0.08200827777427153
14,0.08198824093792531
210,0.07510209452329926
63,0.0689394329875262
95,0.06801583545963123
122,0.06722042919545378
22,0.06574351315685574
21,0.0656028319096923
316,0.06523219368161304
123,0.06152458256604958
124,0.05493668242652257
33,0.05391023364517216
133,0.05057707659750136
130,0.048670442638524075
28,0.04792163019995506
125,0.043412209080932795
56,0.0430237513101728
100,0.043008854994430655
437,0.04134588511641375
129,0.04108524240886625
510,0.03687841113561751
160,0.03656743530702538
452,0.0358731338722811
103,0.0339490238341526
180,0.03384881107211481
460,0.03265684898231974
298,0.03205679793059424
127,0.028307545034567397
164,0.027032243201584722
163,0.023990181489930124
295,0.023143069415373092
26,0.022890975659187456
165,0.02230622571931066
159,0.019136818643955843
300,0.018778584229475176
294,0.018769857202497714
299,0.015362773526358967
436,0.015090835675741742
434,0.014179180368976245
431,0.013742855069494823
430,0.011832730639582078
435,0.008744906680928607
387,0.006036248653512489
249,0.005768112587943982
114,0.005082221760447183
